work_key,title,authors,first_publish_year,subjects,description,cover_url,source
/works/OL3454603W,Translating the Orient,Dorothy Matilda Figueira,1990,"Comparative Literature; European and Indic; European literature; History and criticism; India in literature; Indic and European; Indic literature; Literature, Comparative; Philosophy, Indic, in literature; Sanskrit language; Style; In literature; Littérature européenne; Histoire et critique; Littérature de l'Inde; Philosophie de l'Inde dans la littérature; TRAVEL; Special Interest; Literary; LITERARY CRITICISM; General; Literature; Śakuntalā (Kālidāsa); Literature, history and criticism; Indic literature, history and criticism; Philosophy, indic",,https://covers.openlibrary.org/b/id/4094767-M.jpg,subject:indic_literature
/works/OL14852068W,Literatures of Asia,Tony Barnstone,2002,"Indic literature; Oriental literature; Chinese literature; Translations into English; Vedic literature; Japanese literature; Oriental literature, translations into english; Indic literature, translations into english; Chinese literature, translations into english; Japanese literature, translations into english",,https://covers.openlibrary.org/b/id/1104065-M.jpg,subject:indic_literature
/works/OL3433938W,"Summaries of papers, All-India Oriental Conference, Thirty-sixth Session, Pune","All-India Oriental Conference (36th 1993 Pune, India)",1993,Indic literature; History and criticism; Congresses,On Indic studies.,,subject:indic_literature
/works/OL19240064W,"Who's who of Indian writers, 1999","K. C. Dutt, Sahitya Akademi.",1999,Indic literature; Indic Authors; Directories; Bio-bibliography,,https://covers.openlibrary.org/b/id/4885569-M.jpg,subject:indic_literature
/works/OL2311826W,The Oppressive present,Sudhir Chandra,1992,"Indic literature; History and criticism; Social problems in literature; Indic literature, history and criticism","Study of Hindi, Bengali, Gujarati, and Marathi literature.",https://covers.openlibrary.org/b/id/3928548-M.jpg,subject:indic_literature
/works/OL9087997W,"Who's Who of Indian Writers, Supplementary Volume",K. Satchidanandan,1993,Indic literature; Indic Authors; Directories; Bio-bibliography,,https://covers.openlibrary.org/b/id/4888740-M.jpg,subject:indic_literature
/works/OL10327845W,A history of Indian Literature by M. Winternitz,Moritz Winternitz,1959,History and criticism; Indic literature; Sanskrit literature; Pali literature; Prakrit literature,,,subject:indic_literature
/works/OL11930W,A Suitable Boy,Vikram Seth,1993,"Fiction; India in fiction; History; Indian literature; 1947-; Romans; 18.07 English literature outside Europe and the USA; India, fiction; Fiction, romance, general; Fiction, general","The tale of Lata's and her mother's attempts to find a suitable boy, through love or through maternal appraisal. Set in post-independence India and involving the lives of four families, it is also an explanation of a whole continent faced with its first great General Election.",https://covers.openlibrary.org/b/id/911254-M.jpg,subject:indian_literature
/works/OL1057178W,The Ramayana,Rasipuram Krishnaswamy Narayan,1972,"Adaptations; Epic literature, Sanskrit; Epic literature, Tamil; Fiction; Literature; Mythology; Poetry; Rāma (Hindu deity); Sanskrit Epic literature; Tamil Epic literature; Epic literature, Sanskrit -- Adaptations.; Indian literature; Fiction, general; India, fiction; Near and far eastern fiction (fictional works by one author); Epic literature; Sanskrit literature; India, religion; Folklore, india; Rāma; Rāma (hindu deity)--fiction; Epic literature, tamil--adaptations; Pr9499.3.n3 r36 2006; 297.5/922","A retelling of the Tamil epic poem which records Prince Rama's search for his abducted sweetheart, Sita.",https://covers.openlibrary.org/b/id/4412412-M.jpg,subject:indian_literature
/works/OL1431612W,Historical view of the literature of the south of Europe,Jean-Charles-Léonard Simonde Sismondi,1823,History and criticism; Spanish literature; Troubadours; Portuguese literature; Romance literature; Italian literature; Indian literature; Romance-language literature,,https://covers.openlibrary.org/b/id/5806862-M.jpg,subject:indian_literature
/works/OL17703009W,Dictionary of Native American literature,Andrew Wiget,1994,"American literature, dictionaries; Indian literature, history and criticism; American literature, indian authors, history and criticism; Indian literature; Indian authors; American literature; Encyclopedias; Indians in literature; LITERARY CRITICISM; Native American; Littérature américaine; Encyclopédies; Auteurs indiens d'Amérique","Covers Native American literature in both oral and written forms with general articles and articles on individual authors including Black Elk, Vine Deloria, Jr., Zitkal Sa, N. Scott Momaday, Wendy Rose, Ray Young Bear, and many others.",https://covers.openlibrary.org/b/id/3872049-M.jpg,subject:indian_literature
/works/OL1057177W,Malgudi days,Rasipuram Krishnaswamy Narayan,1982,"India; fiction; classics; Indian Literature; Shot stories; Social life and customs; Malgudi (India : Imaginary place); City and town life; Hindi Short stories; India, fiction; Fiction, general; Malgudi (india : imaginary place)--fiction; City and town life--fiction; Pr9499.3.n3 m34 2006; 823/.912","Introducing this collection of stories, R. K. Narayan describes how in India “the writer has only to look out of the window to pick up a character and thereby a story.” Composed of powerful, magical portraits of all kinds of people, and comprising stories written over almost forty years, Malgudi Days presents Narayan’s imaginary city in full color, revealing the essence of India and of human experience. This edition includes an introduction by Pulitzer Prize- winning author Jhumpa Lahiri.",https://covers.openlibrary.org/b/id/7981639-M.jpg,subject:indian_literature
/works/OL308930W,A Tagore reader,Rabindranath Tagore,1961,Indian literature; Philosophy,,https://covers.openlibrary.org/b/id/588094-M.jpg,subject:indian_literature
/works/OL2753121W,Traditional Literatures of the American Indian,Karl Kroeber,1981,"Indian literature; Translations into English; History and criticism; Legends; Indians of North America; North America; Folklore; Indian Folk literature; Indian literature, history and criticism; Folk literature, history and criticism","Presents and analyzes complete oral texts from the Native American traditions, with essays by leading scholars examining the subtle artistry of form and content that gives spoken stories and myths an enduring vitality in native communities, and explaining the meaning, purpose, and structure of the tales.",https://covers.openlibrary.org/b/id/574319-M.jpg,subject:indian_literature
/works/OL5283836W,Handbook of Native American Literature,Andrew Wiget,1996,"American literature, indian authors; Indian literature; American literature, dictionaries; Encyclopedias; American literature; Indian authors; Indian literature, history and criticism; American literature, indian authors, history and criticism",,https://covers.openlibrary.org/b/id/612975-M.jpg,subject:indian_literature
/works/OL453256W,Four masterworks of American Indian literature,John Bierhorst,1974,"American poetry; Indian poetry; Translations from Indian languages; Translations into English; Religion; Indians; Indian Folk literature; Indian literature; Littérature indienne d'Amérique; Littérature américaine; Mythos; Azteken; Indian literature, translations into english; Indians, religion; Folk literature; American literature; Indian mythology; Indiens; Auteurs indiens; Littérature indienne; Traductions anglaises; Literatura americana; Traducciones de lenguas indígenas; Indios; Religión y mitología",,https://covers.openlibrary.org/b/id/7921729-M.jpg,subject:indian_literature
/works/OL4273602W,Book of the fourth world,Gordon Brotherston,1992,"History and criticism; Indian Folk literature; Indian literature; Indians; Indians of north america, culture; Indians of north america; Indian literature, history and criticism; Folk literature, history and criticism",,https://covers.openlibrary.org/b/id/333133-M.jpg,subject:indian_literature
/works/OL98333W,Reading the fire,Jarold Ramsey,1983,"West (U.S.); History and criticism; Indian Folk literature; Indian literature; American literature, indian authors; Indian literature, history and criticism","""Reading the Fire engages America's ""first literatures,"" traditional Native American tales and legends, as literary art and part of our collective imaginative heritage. This revised edition includes four new essays.""--BOOK JACKET.",https://covers.openlibrary.org/b/id/5413502-M.jpg,subject:indian_literature
/works/OL101955W,A Map to the Next World,Joy Harjo,2000,Poetry (poetic works by one author); American literature; Indian literature,"""In her fifth book, Joy Harjo, one of our foremost Native American voices, melds memories, dream visions, myths, and stories from America's brutal history into a poetic whole. As her fierce conscience lays bare the strange, scarred topography at the margins of our collective consciousness, Harjo's visionary lyricism offers the hope of redemption."".

""Muscogee tribal song and storytelling, Navajo and Hawaiian philosophies, the music of the Middle East, and the poetry of western civilizations can all be heard in these songs and stories that bear witness to the cruelties and the miracles of human nature at the border between two centuries.""--BOOK JACKET.",https://covers.openlibrary.org/b/id/247444-M.jpg,subject:indian_literature
/works/OL25744015W,Native America,"Jeanette den Toonder, Kim van Dam, Fjære van der Stok",2016,"Indians of north america, government relations; Indians of north america, ethnic identity; Indian literature, history and criticism; Indigenous peoples, legal status, laws, etc.; Ethnology, mexico; Indians of North America; Ethnic identity; Government relations; Intellectual life; Indian literature; History and criticism; Indians of Mexico; Indigenous peoples; Indianer; Ethnische Identität; Literatur; Politik; Native peoples; Umschulungswerkstätten für Siedler und Auswanderer","""This book focuses on self-representations of several indigenous communities in Canada, the U.S. and Mexico. It offers a multifaceted understanding of North American indigenous history, identity, community and forms of culture. Intersecting themes shape the structure of this volume: the first part focuses on the theme of recovery in relation to the literary field, the second part examines the theme of governance through examples of conflict, public government and citizenship, and the final part discusses the theme of increased global movements in relation to the preservation of local traditions. The contributors hope to advance trans-indigenous studies by encouraging productive dialogues across the U.S., Canada and Mexico-U.S. borders.""--Publisher's website.",,subject:indian_literature
/works/OL18535056W,"First people, first voices",Penny Petrone,1983,"Sources; Indians of North America; History; Indian authors; Indian literature; Canadian literature; Canadian literature, indian authors","Speeches, letters, diaries, journals, petitions, prayers, songs, poems, drama and stories covering Indian writing and oratory in Canada from the 1630s to the 1980s. Generally arranged chronologically, also provides the Indian view of Canadian history.",https://covers.openlibrary.org/b/id/4183071-M.jpg,subject:indian_literature
/works/OL18815961W,Words of the true peoples,"Carlos Montemayor, Donald H. Frischmann",2004,"Languages; Indians of Mexico; Mexican literature; Texts; Maya literature; Indian literature; History and criticism; Indian literature, history and criticism; Maya literature, history and criticism; Indians of mexico, languages; Mexican literature, history and criticism; Latin american literature, history and criticism",,https://covers.openlibrary.org/b/id/2351488-M.jpg,subject:indian_literature
/works/OL19128025W,Recovering the word,"Brian Swann, Arnold Krupat",1987,"Oral tradition; Indian authors; Indian literature; History and criticism; American literature; Indians in literature; Indians of North America; Intellectual life; Indian Folk literature; American literature, indian authors, history and criticism; Indians of north america, intellectual life; Folk literature, history and criticism",,https://covers.openlibrary.org/b/id/12941955-M.jpg,subject:indian_literature
/works/OL854085W,A Story as Sharp as a Knife,Robert Bringhurst,1999,Legends; Translations into English; Haida Indians; Folklore; Haida poetry; Haida mythology; Indian mythology; Indians of North America; Indian literature,"""The linguist and ethnographer John Swanton took dictation from the last great Haida-speaking storytellers, poets and historians from the fall of 1900 through the summer of 1901. His Haida hosts and colleagues had been raised in a wholly oral world where the mythic and the personal interpenetrate completely. They joined forces with their visitor, consciously creating a great treasury of Haida oral literature in written form.

Poet and linguist Robert Bringhurst has worked for many years with these century-old manuscripts, which have waited until now for the broad recognition they deserve.""--BOOK JACKET.",https://covers.openlibrary.org/b/id/1514017-M.jpg,subject:indian_literature
/works/OL20007918W,Conflict resolution for holy beings,Joy Harjo,2015,Poetry (poetic works by one author); American poetry; Poetry; Poésie américaine; Indians of North America; Indian literature,"In these poems, the joys and struggles of the everyday are played against the grinding politics of being human. Beginning in a hotel room in the dark of a distant city, we travel through history and follow the memory of the Trail of Tears from the bend in the Tallapoosa River to a place near the Arkansas River. Stomp dance songs, blues, and jazz ballads echo throughout. Lost ancestors are recalled. Resilient songs are born, even as they grieve the loss of their country.",https://covers.openlibrary.org/b/id/9384100-M.jpg,subject:indian_literature
/works/OL3090269W,North,Carol Martin,1993,"Art; Canada; Canada (Nord) dans l'art; Canada (Nord) dans la littérature; Canada, Northern; Canada, Northern, in art; Canada, Northern, in literature; Exhibitions; Expositions; Histoire; History; In literature; Indian art; Indian literature; Indians of North America; Inuit; Inuit art; Inuit literature; Littérature inuit; Northern Canada",,,subject:indian_literature
/works/OL19038803W,"MESOAMERICAN VOICES: NATIVE-LANGUAGE WRITINGS FROM COLONIAL MEXICO, OAXACA, YUCATAN,...; ED. BY MATTHEW RESTALL","Matthew Restall, Kevin Terraciano",2005,Nahuatl literature; History and criticism; Maya literature; Indian literature,,https://covers.openlibrary.org/b/id/356937-M.jpg,subject:indian_literature
/works/OL6909981W,Winged serpent,Margot Astrov,1962,English literature; Indians of North America; Indian literature; Translations into English; Translations; Indians; Indians of South America; Languages; Texts; Literary collections; Indian Folk literature; Translations from Indian languages,,https://covers.openlibrary.org/b/id/4493878-M.jpg,subject:indian_literature
/works/OL876244W,The metamorphosis of heads,Denise Y. Arnold,2006,"Administration; Aymara Indians; Colonies; Education; History; Inca textile fabrics; Indian literature; Indians of South America; Languages; Literacy; Quipu; Textual Criticism; Transmission of texts; Writing; Indians of south america, education; Indians of south america, languages; Peru, history; Spain, colonies, america; Indian textile fabrics, south america; Indian literature, history and criticism",,https://covers.openlibrary.org/b/id/1560394-M.jpg,subject:indian_literature
/works/OL25400598W,"Land, Politics, and Memory in Five Nija'ib' K'iche' Títulos",Mallory Matsumoto,2017,"Indians of north america, languages; Oral history; Quiché Indians; Texts; Quiché language; Transcription; Indian literature","""Five highland Maya títulos composed in the sixteenth century by the Nija'ib K'iche' of Guatemala. Each manuscript provides a copy of the original, a transcription of the sixteenth-century modified Latin script, a morphologic analysis, a line-by-line English translation preserving the original syntax, and English prose versions""--Provided by publisher.",,subject:indian_literature
/works/OL3263445W,Ethnocriticism,Arnold Krupat,1992,"Ethnology; History and criticism; Indian authors; Literature and anthropology; Indians of North America; Indian literature; Intellectual life; American literature; Methodology; Authorship; Indians in literature; Litterature et anthropologie; Art d'ecrire; Letterkunde; Entretiens; Auteurs indiens d'Amerique; Ecrivains indiens d'Amerique; Litterature indienne d'Amerique; Culturele antropologie; Histoire et critique; Litterature americaine; Methodologie; Ethnologie; Criticism; Indians of north america, culture","""Ethnocriticism moves cultural critique to the boundaries that exist between cultures. The boundary traversed in Krupat's adventurous new book is the contested line between native and mainstream American literatures and cultures."" ""For over a century the discourses of ethnography, history, and literature have sought to represent the Indian in America. Krupat considers all these discourses and the ways in which Indians have attempted to ""write back,"" producing an oppositional - or at least a parallel - discourse. Exploring the recent convergence of ethnography and literature, he analyzes the work of Franz Boas - founder of American scientific anthropology - and of James Clifford - foremost critic of scientific anthropology."" ""After an innovative rhetorical reading of the Indian Removal Act of 1830, Krupat discusses the counter-discourse with which the Cherokee tried to prevent its passage. He considers the gulf between the idea of ""literature"" and the Native American practice of oral performance, concluding with a close analysis of representations of the Indian self in Native American autobiography. This is an exciting and ambitious new work that all scholars interested in post-modern cultural critique and cultural difference will want to read.""--BOOK JACKET.",https://covers.openlibrary.org/b/id/324878-M.jpg,subject:indian_literature
/works/OL19976512W,Indigenous bodies,"Jacqueline Fear-Segal, Rebecca Tillett",2013,"Human figure in art; Indian artists; Indian philosophy; Indian art; History and criticism; American literature; Indian literature; Human body in literature; Symbolic aspects; Indian authors; Human body; Indian art, north america; Indian philosophy, north america; Indian literature, history and criticism; American literature, indian authors; Human body in art","This interdisciplinary collection of essays, by both Natives and non-Natives, explores presentations and representations of indiegenous bodies in historial and contemporary contexts. REcent decades have seen a wealth of scholarship on the body in a wide range of disciplines. Indigenous Bodies extends this scholarship in exciting new ways, bringing together the disciplinary expertise of NAtive studies scholars from around the world. The book is particularly concerned with the Native body as a site of persistent fascination, colonial oppression, and indigenous agency, along with the endurance of these legacies within Native communities. At the core of this collection lies a dual commitment to exposing numerous and diverse disempowerments of indigenous people,s and to recognizing the many ways in which these same people retained and/or reclaimed agency. Issues of reviewing, relocating, and reclaiming bodies are examinied in the chapters, which are paired to bring to light juxtapositions and connections and further the transnational development of indigenous studies.",https://covers.openlibrary.org/b/id/12402049-M.jpg,subject:indian_literature
/works/OL21670544W,Sovereignty and Sustainability,Siobhan Senier,2020,American literature; Indian literature; History and criticism; Indian authors; Ethnische Identität; Indigenes Volk; Literatur; SOCIAL SCIENCE; Ethnic Studies; Native American Studies,,,subject:indian_literature
/works/OL1995922W,Native American literatures,Kathy J. Whitson,1999,"Encyclopedias; Indian authors; American literature; Indians of North America; Intellectual life; Bio-bibliography; Characters and characteristics in literature; Themes, motives; Biography; Indians in literature; Indiens d'Amerique; Indian literature; Themes, motifs; Auteurs indiens; Literatur; Letterkunde; Indianerautoren; Indiens d'Amerique dans la litterature; Auteurs indiens d'Amerique; Indiens; Amerikaans; Ecrivains indiens d'Amerique; Indianen; Vie intellectuelle; Encyclopedies; History and criticism; Biobibliographie; Litterature americaine; Biographies; Worterbuch; Personnages dans la litterature; Auteurs indiens d'Amérique; Encyclopédies; Personnages dans la littérature; Indiens d'Amérique dans la littérature; Écrivains indiens d'Amérique; Thèmes, motifs; Wörterbuch; Indiens d'Amérique; Littérature américaine; American literature, indian authors, history and criticism; Indians of north america, intellectual life","""This current, affordable title covers Native American poetry, fiction, and prose. It lists more than 300 alphabetically arranged entries, divided into four types: individual authors, individual works, important characters in works, and terms or events of historical importance. Summaries and interpretive information on texts that would be of use to high school and undergraduate students are provided. This volume would be a useful addition to public and academic libraries.""----""Outstanding reference sources 2000"", American Libraries, May 2000. Comp. by the Reference Sources Committee, RUSA, ALA.",https://covers.openlibrary.org/b/id/665671-M.jpg,subject:indian_literature
/works/OL20151727W,Revealing Rebellion in Abiayala,Hannah Burdette,2019,"Indian literature, history and criticism; Social movements; Literature, history and criticism; Literature; Indian authors; Indian literature; History and criticism; Social movements in literature; Indigenous authors; Literatures",,https://covers.openlibrary.org/b/id/8796197-M.jpg,subject:indian_literature
/works/OL15857848W,Supplement to the Handbook of Middle American Indians,Munro S. Edmonson,1985,"Littérature maya; Littérature indienne; Histoire et critique; Indian literature; Mayan literature; History and criticism; Indian literature, history and criticism",,https://covers.openlibrary.org/b/id/6820626-M.jpg,subject:indian_literature
/works/OL16820295W,Benign Flame,BS Murthy,2006,Literature; Literary novel; Literary fiction; General fiction; Classical novel; Indian classical novel; Classic fiction; Indian classic fiction; Family saga; Indian family saga; Indian life; Indian literature; Indian novel; Indian Fiction; Indian English Writing; Romance; Indian romance; Love story; Indian love story; Man-woman chemistry; Women’s dilemma; Love triangle; Threesome; Ménage à  trois; Adultery; Infidelity; Lesbainism; Playboy; Seduction; Flirting; Cuckold; Tragedy,"The attractions Roopa experienced and the fantasies she entertained as a teen shaped a male imagery that ensconced her subconscious. Insensibly, confident carriage came to be associated with the image of maleness in her mind-set. Her acute consciousness of masculinity only increased her vulnerability to it, making her womanliness crave for the maleness for its gratification. 
However, as her father was constrained to help her in becoming a doctor, she opts to marry, hoping that Sathyam might serve her cause though the persona she envisioned as masculine, she found lacking in him. But as he fails to go with her idea, she becomes apathetic towards him, and insensibly sinks into her friend Sandhya’s embrace, for lesbian solace.
Soon, in a dramatic sequence of events, Tara, a suave call girl, tries to rope Roopa into her calling; Roopa herself loses her heart to Sandhya's beau Raja Rao, and Prasad, her husband’s friend falls for her. And as Prasad begins to induce Sathyam to be seduced by whores to worm his way into her affections, Roopa finds herself in a dilemma. However, as fate puts Raja Rao into Roopa’s arms in such a way as to lend novelty to fiction, this ‘novel’ nuances man-woman chemistry on one hand, and portrays woman-woman empathy on the other.
Who said the novel is dead; 'Benign Flame' raises the bar as vouched by - 
The plot is quite effective and it’s a refreshing surprise to discover that the story will not trace a fall into disaster for Roopa, given that many writers might have habitually followed that course with a wife who strays into extramarital affairs - Spencer Critchley, Literary Critic, U.S.A.
The author has convinced the readers that love is something far beyond the marriage tie and the fulfillment in love can be attained without marriage bondage. The author has achieved a minor revolution without any paraphernalia of revolution in the fourth part of the novel – The Quest, India.
The author makes free use of – not interior monologue as su",https://covers.openlibrary.org/b/id/10146573-M.jpg,subject:indian_literature
/works/OL377089W,American Indian linguistics and literature,William Bright,1984,"History and criticism; Indian literature; Indians; Indians of North America; Languages; Oral tradition; Indians of north america, languages; Indian literature, history and criticism; Indians, languages",,https://covers.openlibrary.org/b/id/995720-M.jpg,subject:indian_literature
/works/OL3263451W,The voice in the margin,Arnold Krupat,1989,"Theory; History and criticism; Indian authors; Indian literature; American literature; Canon (Literature); Indians in literature; Indians of North America; Intellectual life; Indians of north america, culture; Littérature américaine; Auteurs indiens d'Amérique; Histoire et critique; Théorie; Chefs-d'œuvre (Littérature); 18.06 Anglo-American literature; Amerikaans; Letterkunde; Canon; Inheemsen; Littérature indienne d'Amérique; Indiens d'Amérique; Dans la littérature; Canons littéraires; LITERARY CRITICISM; American; General",,https://covers.openlibrary.org/b/id/13016095-M.jpg,subject:indian_literature
/works/OL3263449W,Red Matters,Arnold Krupat,2002,"Indian literature, history and criticism; Indians of north america, intellectual life; American literature, indian authors, history and criticism; Indians in literature; Indians of north america, history; Indian literature; History and criticism; American literature; Indian authors; Indians of North America; Intellectual life; Historiography; Indian literature--history and criticism; Indian literature--united states--history and criticism; American literature--indian authors--history and criticism; Indians of north america--intellectual life; Indians of north america--historiography; Pm238 .k78 2002; 810.9/897",,https://covers.openlibrary.org/b/id/602734-M.jpg,subject:indian_literature
/works/OL6924757W,Literature of the American Indian,Thomas Edward Sanders,1973,Translations into English; American literature; Indian authors; Indian literature; Indians of North America; Literary collections; Indian Folk literature; Translations from Indian languages; North American Indians; Literature,"With 114 selections representative of at least 28 tribes as well as contemporary individual writers, this book goes from creation myths, through pre-Columbian tales and poetry; to the great orations and protest speeches, to the attempts at assimilation, and then to the present resurgence of Pan Indianism.",https://covers.openlibrary.org/b/id/7007829-M.jpg,subject:indian_literature
/works/OL38229W,Native American renaissance,Kenneth Lincoln,1983,"Indian authors; Indians of North America; Indian literature; Intellectual life; History and criticism; American literature; Indians in literature; Indians of north america, history",,https://covers.openlibrary.org/b/id/8590768-M.jpg,subject:indian_literature
/works/OL124801W,Literaturas indígenas de América,Juan Adolfo Vázquez,1999,"Folk literature, Indian; History and criticism; Indian Folk literature; Indian literature; Indian mythology",,https://covers.openlibrary.org/b/id/5507512-M.jpg,subject:indian_literature
/works/OL2739157W,On the Wings of Time,Sabine MacCormack,2006,History and criticism; Incas; Historiography; Indian literature; First contact with Europeans; Spanish literature; Incas in literature; History,,https://covers.openlibrary.org/b/id/444264-M.jpg,subject:indian_literature
/works/OL20778454W,"Orientalism, Terrorism, Indigenism",Pavan Kumar Malreddy,2015,"Oriental literature, history and criticism; Orientalism in literature; Postcolonialism in literature; South Asian literature; Terrorism in literature; History and criticism; Postcolonialism; Orientalism; Indian literature",,https://covers.openlibrary.org/b/id/9863919-M.jpg,subject:indian_literature
/works/OL2084987W,The portable North American Indian reader,"Turner, Frederick W.",1974,"Indians of North America; Indian authors; Indian literature; American literature; Literary collections; Indians; Littérature amérindienne; Auteurs indiens d'Amérique; Légende amérindienne; Anthologies; Indiens d'Amérique; Indianen; Littérature américaine; Coutume; Amérindien; Mythologie amérindienne; Moeurs; Littérature indienne d'Amérique; American literature, indian authors; Indian literature, translations into english; Folklore; Indian mythology; Poetry; Speeches, addresses, etc., Indian","A collection of myths, tales, poetry, speeches, and passages from Indian autobiographies and recent writings.",https://covers.openlibrary.org/b/id/95983-M.jpg,subject:indian_literature
/works/OL16820299W,Jewel-less Crown,BS Murthy,2004,Literature; Literary novel; Literary fiction; General fiction; Classical novel; Indian classical novel; Classic fiction; Indian classic fiction; Stream of consciousness novel; Indian Stream of consciousness fiction; Family saga; Indian family saga; Indian life; Indian literature; Indian novel; Indian Fiction; Indian English Writing; Memoir; Indian memoir; Romance; Indian romance; Love story; Indian love story; Man-woman chemistry; Women’s dilemma; Tragedy; Materialism; Spirituality; Love and loss,"It's perilous penning this blurb. 
It's fine when man is modest about his work. 
It even affords him the aura of an invisible crown! 
But what about his work? 
Were it an art or craft, it is there for all to see. 
What of a literary work of an unheralded author? 
Well, lauding the same might raise one's eyebrows. 
Failing to praise wouldn't make a 'jewel-less crown' either! 
Why not see, if this is the great Indian novel.
This is the story of the rise and fall of an ambitious man, the decline, and the decay of his conniving wife, the trials, and tribulations of their wayward son as well as the grit and gall of a spirited woman, who enters into his life. 
This depiction of their life and times not only pictures the facets of ambition and achievement, intrigue and betrayal, compulsion and compromise, sleaze and scandal, trial and sentence, but also portrays the possibilities of repentance and resolution, love and empathy coupled with compassion and contribution, leading to the spirituality of materialism, and that makes it the saga of our times.
The story of a lifetime, truly.",https://covers.openlibrary.org/b/id/8569920-M.jpg,subject:indian_literature
/works/OL21549849W,Literary Land Claims,Margery Fee,2015,"Indians of north america, canada; Indian literature; Canadian literature, history and criticism; Land tenure; Canadian literature (English); Indian authors; History and criticism; Indians in literature; Colonization in literature; Indians of North America; Claims; Canadian literature",,,subject:indian_literature
/works/OL4260228W,Das Mahābhārata und seine Theile,Adolf Holtzmann,1892,"Criticism, interpretation; Mahābhārata; Sanskrit; Indian literature; Literature",,,subject:indian_literature
/works/OL6091674W,American Indian Literature,Alan R. Velie,1979,Literary collections; Indian Folk literature; Indians of North America; Indian literature; Indian authors; Translations into English; American literature,,https://covers.openlibrary.org/b/id/584320-M.jpg,subject:indian_literature
/works/OL1636884W,Literaturas indígenas de México,"Miguel León Portilla, Miguel León Portilla",1992,Languages; Indians of Mexico; Indian literature; History and criticism; Writing,,,subject:indian_literature
/works/OL116018W,American Indian authors,Arlene B. Hirschfelder,1970,Bibliography; Indians of North America; Eskimos; Indian authors; Indian literature; Intellectual life; American literature; United States,,https://covers.openlibrary.org/b/id/9851876-M.jpg,subject:indian_literature
/works/OL96359W,Indo-Anglian fiction,H. S. Mahle,1985,English fiction; History and criticism; In literature; Indic fiction (English); Indian literature,,,subject:indian_literature
/works/OL2387689W,Writing as witness,Beth Brant,1994,"History; Lesbians' writings, Canadian; Indian lesbians; Women and literature; Intellectual life; History and criticism; Indians in literature; American literature; Indian authors; Women authors; Canadian literature; Indian literature; Lesbians' writings, American; Feminism",,https://covers.openlibrary.org/b/id/686473-M.jpg,subject:indian_literature
/works/OL1118654W,The evolution of an American Indian prose epic,"Radin, Paul",1954,Folklore; History and criticism; Indian literature; Indians of North America; Intellectual life; Intellectual life.; Winnebago Indians; Winnebago mythology; Winnebago literature; Winnebago (Indiens); Religion; Legends,,,subject:indian_literature
/works/OL1100697W,Aboriginal American authors and their productions,Daniel Garrison Brinton,1883,History and criticism; Indian authors; Indian literature; Indians; Literature,,https://covers.openlibrary.org/b/id/9764451-M.jpg,subject:indian_literature
/works/OL23972183W,Temas de literatura indígena,Esteban Emilio Mosonyi,2003,"Indian literature; Themes, motives; History and criticism; Venezuelan literature; Indian authors; Translations into Spanish",,,subject:indian_literature
/works/OL21160622W,"Human Being, Bodily Being",Chakravarthi Ram-Prasad,2018,Human body (philosophy); Human body in literature; Indian literature; History and criticism,"""Chakravarthi Ram-Prasad offers illuminating new perspectives on contemporary phenomenological theories of body and subjectivity, based on studies of classical Indian texts that deal with bodily subjectivity. Examining four texts from different genres - a medical handbook, epic dialogue, a manual of Buddhist practice, and erotic poetry - he argues for a 'phenomenological ecology' of bodily subjectivity in health, gender, contemplation, and lovemaking. An ecology is a continuous and dynamic system of interrelationships between elements, in which the salience accorded to some type of relationship clarifies how the elements it relates are to be identified. The paradigm of ecological phenomenology obviates the need to choose between apparently incompatible perspectives of the human. The delineation of body is arrived at by working back phenomenologically from the world of experience, with the acknowledgement that the point of arrival - a conception of what counts as bodiliness - is dependent upon the exact motivation for attending to experience, the areas of experience attended to, and the expressive tools available to the phenomenologist. Ecological phenomenology is pluralistic, yet integrates the ways experience is attended to and studied, permitting apparently inconsistent intuitions about bodiliness to be explored in novel ways. Rather than seeing particular framings of our experience as in tension with each other, we should see each such framing as playing its own role according to the local descriptive and analytic concern of a text.""--",,subject:indian_literature
/works/OL21338718W,Native Provenance,Gerald Robert Vizenor,2019,"Indians of north america, intellectual life; Indians of north america, social life and customs; Indian literature; Indians of North America; Folklore; History and criticism; Intellectual life; Colonization; Social life and customs; Littérature indienne d'Amérique; Histoire et critique; SOCIAL SCIENCE; Ethnic Studies; Native American Studies",,,subject:indian_literature
/works/OL20931795W,Adaptive Reuse,Elisa Freschi,2017,"Art, asian; Ethnology, south asia; Asia, civilization; Civilization; Arts; Ethnology; Indian philosophy; Indian literature; Adaptations; Sanskrit literature","The present volume explores a specific aspect of creativity in South Asian systems of knowledge, literature and rituals. Under the heading of ?adaptive reuse,? it discusses the relationship between innovation and perpetuation of earlier forms and contents of knowledge and aesthetic expressions within the process of creating new works. Although this relation rarely became the topic of explicit reflections in the South Asian intellectual traditions, it is here investigated by taking a closer look at the treatment of older materials by later authors.",,subject:indian_literature
/works/OL4273598W,Image of the New World,Gordon Brotherston,1979,Languages; Sources; History; Indian Folk literature; Indian literature; Indians; Writing,,https://covers.openlibrary.org/b/id/7007330-M.jpg,subject:indian_literature
